ST	bruce06-BRU1322	bruce08-BRU1134	bruce11-BRU211	bruce12-BRU73	bruce42-BRU424	bruce43-BRU379	bruce45-BRU233	bruce55-BRU2066	bruce18-BRU339	bruce19-BRU324	bruce21-BRU329	bruce04-BRU1543	bruce07-BRU1250	bruce09-BRU588	bruce16-BRU548	bruce30-BRU1505
131	2	5	8	7	3	2	5	1	4	22	9	5	5	3	8	5
133	2	5	8	7	3	2	5	1	4	22	9	5	5	3	6	5
134	2	5	8	13	2	2	4	2	6	6	9	8	6	7	8	3
135	3	4	2	13	4	2	3	3	5	18	6	2	5	8	3	6
136	4	5	4	12	2	2	3	3	5	21	8	3	5	3	4	5
137	4	5	4	12	2	1	3	3	6	21	8	3	4	3	3	5
138	3	5	4	11	2	2	3	3	8	20	8	6	5	3	11	5
139	4	5	4	12	2	2	3	2	6	21	8	3	4	3	3	5
140	3	5	3	12	2	2	2	3	7	21	8	6	7	3	3	3
141	3	5	3	12	2	2	2	3	7	21	8	6	6	3	3	3
143	3	5	3	12	2	2	3	3	7	21	8	3	6	3	3	3
144	1	5	3	12	2	2	3	2	4	20	8	7	4	3	5	4
145	3	5	2	10	1	1	5	2	3	4	9	6	7	7	6	2
146	2	3	6	10	4	1	5	2	4	19	9	6	6	5	5	3
147	2	4	8	15	6	1	5	2	6	22	9	9	9	18	2	4
148	2	3	4	11	3	1	5	2	4	19	9	7	5	10	4	5
149	2	3	9	11	3	1	5	2	5	18	9	4	5	9	6	3
150	1	2	9	17	1	2	5	5	7	22	9	9	5	3	9	5
151	2	5	8	7	3	2	5	1	4	22	9	6	4	3	5	6
152	2	3	9	11	3	1	5	2	5	20	9	8	6	7	5	3
153	3	5	6	13	3	2	5	4	7	21	9	5	5	5	3	3
154	4	5	4	13	4	3	5	1	6	21	9	3	6	3	6	3
155	2	3	6	10	4	1	5	2	4	19	9	5	5	8	6	3
156	2	3	6	10	4	1	5	2	4	19	9	4	6	7	5	3
157	2	3	6	10	4	1	5	2	4	19	9	6	5	7	4	3
158	2	3	6	10	4	1	5	2	5	19	9	5	6	8	5	3
159	2	3	6	10	4	1	5	2	4	19	9	9	5	7	5	3
160	2	3	6	10	4	1	5	2	4	19	9	7	7	8	5	3
161	2	3	6	10	4	1	5	2	4	19	9	6	6	6	5	3
162	2	3	6	10	4	1	5	2	4	19	9	6	5	7	3	3
163	2	3	6	10	4	1	5	2	4	19	9	4	6	6	4	3
164	2	3	6	10	4	1	5	2	4	19	9	5	5	6	4	3
165	2	3	6	10	4	1	5	2	4	19	9	4	4	8	5	3
166	2	4	8	15	6	1	5	2	6	21	9	12	5	13	2	11
167	2	4	8	15	6	1	5	7	6	21	9	14	4	10	2	7
168	2	4	8	15	6	1	5	2	6	21	9	13	9	17	2	5
169	2	4	8	15	6	1	5	2	7	21	9	14	7	13	2	8
170	2	4	9	15	6	1	5	7	8	21	9	5	12	13	2	9
171	2	4	8	15	5	1	5	2	6	21	9	10	9	8	2	5
172	2	4	8	15	5	1	5	7	7	21	9	18	7	3	2	7
173	2	4	8	15	6	1	5	2	7	21	9	6	6	23	2	12
174	2	4	8	15	6	1	5	2	5	21	9	15	12	5	2	5
175	2	4	8	9	6	1	5	7	7	20	9	19	8	7	2	6
176	2	4	8	15	6	1	5	2	6	21	9	16	7	11	2	6
177	2	4	8	15	6	1	5	2	6	19	9	14	8	10	2	5
178	2	4	8	15	6	1	5	2	5	21	9	16	11	11	2	8
179	2	4	8	15	6	1	5	6	6	21	9	15	9	13	2	7
181	2	5	8	15	5	1	5	7	6	20	9	20	7	15	2	5
182	2	5	8	15	5	1	5	7	6	20	9	22	7	13	2	5
183	2	5	8	15	5	1	5	7	6	20	9	8	7	9	2	5
184	2	4	8	15	6	1	5	6	6	21	9	6	9	16	2	10
185	2	4	8	15	6	1	5	7	6	21	9	4	7	3	2	7
186	2	4	8	15	6	1	5	6	6	21	9	4	6	24	2	6
187	2	4	8	15	6	1	5	6	4	21	9	8	4	8	2	8
188	2	5	8	15	5	1	5	7	5	20	9	4	12	18	2	5
189	2	5	8	9	5	1	5	5	6	19	9	8	5	15	2	6
190	2	5	8	9	5	1	5	4	6	19	9	7	7	11	2	7
191	2	5	8	9	5	1	5	4	6	19	9	20	9	13	2	5
193	2	5	8	9	5	1	5	5	6	19	9	13	5	19	2	6
194	2	5	8	9	5	1	5	5	6	19	9	14	5	18	2	8
195	2	5	8	9	5	1	5	5	6	19	9	14	5	7	2	6
196	2	5	8	9	5	1	5	5	5	19	9	12	9	7	2	7
197	2	5	8	9	5	1	5	5	6	19	9	9	5	14	2	7
198	2	4	8	15	6	1	5	2	6	21	9	7	5	16	2	6
199	2	4	8	15	6	1	5	6	6	21	9	13	13	6	2	11
200	2	4	8	15	4	1	5	6	4	21	9	15	4	7	2	7
201	2	4	8	15	6	1	5	6	6	21	9	12	6	8	2	8
202	2	4	8	15	6	1	5	6	6	21	9	11	12	7	2	10
203	2	4	8	15	5	1	5	2	5	21	9	11	11	14	2	5
204	2	4	8	15	6	1	5	2	6	21	9	9	5	8	2	6
205	2	4	8	15	6	1	5	6	6	21	9	9	10	11	2	9
206	2	4	8	15	5	1	5	2	6	21	9	15	4	17	2	5
207	2	5	8	15	5	1	5	7	6	20	9	15	8	17	2	5
208	2	4	8	15	7	1	5	6	6	21	9	6	4	18	2	5
209	2	4	8	15	6	1	5	6	6	21	9	12	4	14	2	9
210	2	4	8	15	6	1	5	6	6	21	9	9	8	7	2	10
211	2	5	8	15	5	1	5	7	4	21	9	10	5	3	2	8
212	2	3	6	10	4	1	5	2	4	19	9	4	5	5	5	3
213	3	4	2	13	4	2	3	3	7	18	6	2	5	6	8	4
214	2	4	2	12	4	2	3	3	9	18	7	2	4	3	3	5
215	3	4	2	13	4	2	3	3	8	18	6	2	4	6	3	6
216	3	4	3	14	5	2	3	3	6	18	5	2	4	6	5	4
217	1	5	3	13	3	2	3	2	4	20	8	5	5	3	5	4
218	3	4	2	13	4	2	3	3	8	18	6	2	4	7	4	6
219	1	5	3	13	2	3	3	2	4	20	8	4	4	3	4	6
220	1	5	3	13	3	2	2	2	6	5	8	7	4	3	5	6
221	1	5	3	13	3	2	3	2	4	20	8	5	4	8	6	9
222	3	4	2	13	5	2	3	3	9	18	6	2	3	8	9	6
223	3	5	3	13	1	1	3	3	7	21	8	9	5	6	6	3
224	3	5	3	13	1	1	3	3	7	21	8	5	5	12	4	3
225	3	5	3	13	1	1	3	3	7	23	8	7	5	14	7	3
226	3	4	3	13	4	2	3	3	6	18	5	2	5	4	4	6
227	2	5	3	12	3	1	3	2	5	18	9	9	6	7	10	4
228	1	5	3	13	3	2	3	2	5	5	8	4	4	3	4	5
229	3	5	3	13	1	1	3	3	7	21	8	5	5	7	7	3
230	1	5	3	13	3	2	2	2	6	5	8	4	4	3	6	6
231	1	5	3	13	3	2	3	2	4	20	8	4	5	3	6	5
232	1	5	3	13	2	2	3	2	4	20	8	5	7	3	6	5
233	3	5	3	13	1	1	3	3	7	22	8	6	2	9	4	3
234	3	5	3	13	1	1	3	3	5	21	8	6	4	7	3	3
235	3	6	3	14	1	1	3	3	7	22	8	7	4	6	6	3
236	3	6	3	14	1	1	3	3	8	22	8	5	4	8	7	3
237	1	4	3	13	3	2	3	2	4	20	8	5	4	3	4	5
238	1	4	3	13	3	2	3	2	4	20	8	6	4	3	4	5
239	3	6	3	14	1	1	3	3	7	21	8	7	6	8	4	3
240	3	5	3	14	1	1	3	3	7	21	8	7	4	9	8	3
241	1	5	3	13	2	2	3	2	4	20	8	5	7	3	4	5
243	3	5	3	13	1	1	3	3	9	21	8	7	4	3	10	3
244	3	5	3	13	1	1	3	3	7	21	8	9	4	9	6	3
245	3	5	3	13	1	1	3	3	9	21	8	5	5	3	9	3
246	3	5	3	13	1	1	3	3	9	21	8	5	5	3	10	3
247	1	5	3	13	2	2	3	2	4	20	8	5	7	3	5	5
248	3	5	3	13	1	1	3	3	7	22	8	7	2	13	4	3
249	1	5	3	13	3	2	3	2	4	20	8	6	4	6	4	3
250	1	5	3	13	2	2	3	2	4	20	8	4	7	3	4	6
251	3	5	3	13	1	1	3	3	7	22	8	6	2	7	4	3
252	3	5	3	13	1	1	3	3	7	21	8	5	3	7	4	3
253	3	5	3	13	1	1	3	3	7	22	8	8	2	9	4	3
254	3	4	3	13	5	2	3	3	6	18	5	2	4	8	6	5
255	3	5	3	13	1	1	3	3	7	21	8	6	4	9	5	3
256	1	5	3	13	3	2	3	2	5	5	8	3	4	3	5	5
257	3	5	3	13	1	1	3	3	8	22	8	7	2	7	4	3
258	3	5	3	13	1	1	3	3	9	21	8	6	6	3	5	3
259	1	5	3	13	2	2	3	2	4	20	8	5	4	3	6	4
260	3	5	4	12	2	2	3	3	6	21	8	5	6	3	4	4
261	3	5	4	12	2	2	3	3	6	21	8	5	7	3	4	4
262	4	5	4	12	2	2	3	3	6	21	8	4	4	3	3	4
263	4	5	4	12	2	2	3	3	6	21	8	3	4	3	6	5
264	4	5	4	12	2	2	3	3	6	21	8	3	4	3	3	5
265	4	5	4	12	2	2	3	3	4	21	8	4	4	3	3	4
266	4	5	4	12	2	2	3	3	6	21	8	3	5	3	3	5
267	4	5	3	12	2	2	3	1	6	21	8	4	5	4	3	3
268	4	5	3	12	2	2	3	1	6	21	8	4	5	5	4	3
269	4	5	3	12	2	2	3	1	6	21	8	4	5	6	4	3
270	3	5	4	11	2	2	3	3	6	20	8	6	8	3	7	7
271	4	5	3	12	2	2	3	1	6	21	8	4	5	7	3	3
272	4	5	3	12	2	2	3	1	6	22	8	4	5	7	3	3
273	4	5	3	12	2	2	3	1	6	22	8	4	5	5	3	3
274	4	5	3	12	2	2	3	1	6	22	8	3	5	8	3	3
275	4	5	4	12	2	2	3	3	6	22	8	4	7	3	4	5
276	3	5	3	12	2	2	2	3	7	22	8	4	5	3	4	3
277	3	5	3	12	2	2	2	3	7	21	8	4	6	3	3	3
278	4	5	3	12	2	2	3	1	6	21	8	5	6	4	3	3
279	4	5	4	12	2	3	3	3	6	21	8	3	7	3	3	5
280	3	5	2	10	1	1	5	2	3	4	9	9	9	9	14	2
282	3	5	2	10	1	1	5	2	3	4	9	6	12	12	14	2
283	1	5	3	13	3	2	3	2	4	20	8	5	5	3	4	4
284	1	5	3	13	2	2	3	2	4	20	8	7	6	3	5	5
285	1	5	3	13	3	2	3	2	4	20	8	6	4	3	5	4
286	1	5	3	13	2	2	3	2	4	20	8	6	5	3	8	6
287	1	5	3	13	2	2	3	2	4	20	8	5	9	3	6	5
288	1	5	3	13	3	2	3	2	5	18	8	4	4	3	5	6
